,step,AverageReturn
482,48300,-976.3800048828125
483,48400,-1051.75
484,48500,-1053.3800048828125
485,48600,-1036.0699462890625
486,48700,-1143.1400146484375
487,48800,-1073.27001953125
488,48900,-1029.4300537109375
489,49000,-948.8900146484375
490,49100,-1058.4100341796875
491,49200,-1028.5
492,49300,-997.97998046875
493,49400,-1122.199951171875
494,49500,-1173.77001953125
495,49600,-1011.6300048828125
496,49700,-1232.030029296875
497,49800,-1128.9200439453125
498,49900,-1176.260009765625
499,50000,-1049.0699462890625
500,50100,-986.4299926757812
501,50200,-977.469970703125
502,50300,-1039.7099609375
503,50400,-1098.489990234375
504,50500,-1021.6799926757812
505,50600,-1225.06005859375
506,50700,-955.0700073242188
507,50800,-1071.949951171875
508,50900,-1013.97998046875
509,51000,-999.1900024414062
510,51100,-1037.06005859375
511,51200,-1055.97998046875
512,51300,-1048.4000244140625
513,51400,-1036.1800537109375
514,51500,-1042.6600341796875
515,51600,-1001.0900268554688
516,51700,-1091.219970703125
517,51800,-1002.8599853515625
518,51900,-959.6900024414062
519,52000,-991.780029296875
520,52100,-987.1799926757812
521,52200,-927.7000122070312
522,52300,-957.5900268554688
523,52400,-1072.510009765625
524,52500,-1012.3499755859375
525,52600,-1167.02001953125
526,52700,-1096.75
527,52800,-1020.280029296875
528,52900,-968.1699829101562
529,53000,-1046.43994140625
530,53100,-1036.1700439453125
531,53200,-1028.1400146484375
532,53300,-1217.260009765625
533,53400,-1080.5699462890625
534,53500,-1102.3399658203125
535,53600,-1089.010009765625
536,53700,-1036.27001953125
537,53800,-937.2999877929688
538,53900,-1103.43994140625
539,54000,-996.3400268554688
540,54100,-1020.969970703125
541,54200,-959.8099975585938
542,54300,-1032.219970703125
543,54400,-999.9299926757812
544,54500,-980.1300048828125
545,54600,-1036.9200439453125
546,54700,-1091.280029296875
547,54800,-940.7899780273438
548,54900,-980.5599975585938
549,55000,-984.969970703125
550,55100,-1070.7099609375
551,55200,-1047.5
552,55300,-1048.22998046875
553,55400,-1006.6300048828125
554,55500,-997.6300048828125
555,55600,-935.8400268554688
556,55700,-1119.81005859375
557,55800,-931.75
558,55900,-988.5499877929688
559,56000,-1065.8599853515625
560,56100,-1183.719970703125
561,56200,-976.989990234375
562,56300,-1040.8399658203125
563,56400,-1027.22998046875
564,56500,-972.780029296875
565,56600,-1111.4000244140625
566,56700,-969.6699829101562
567,56800,-959.0
568,56900,-949.6400146484375
569,57000,-1039.9300537109375
570,57100,-1037.06005859375
571,57200,-977.3400268554688
572,57300,-1020.469970703125
573,57400,-987.3099975585938
574,57500,-998.8099975585938
575,57600,-1061.550048828125
576,57700,-1021.0900268554688
577,57800,-1042.0799560546875
578,57900,-1021.1599731445312
579,58000,-955.52001953125
580,58100,-1069.8499755859375
581,58200,-1063.8699951171875
582,58300,-966.239990234375
